	Feature	F-measure	Nr. of result sets		
00:03:42,509 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:04:14,429 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1163836164	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:04:54,201 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2130222718	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:05:26,377 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2219349278	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:06:04,450 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.3395819866	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:06:37,302 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.4846800259	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:07:10,503 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:07:42,360 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:08:14,621 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.6121310062	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.297322286
00:19:12,045 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:19:44,175 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
