Precision	Recall	F-measure	Spotter
12:47:45,136 DEBUG [org.aksw.hawk.controller.NEREvalPipeline.run] 118 - <0.25	0.27647058823529413	0.2297780650721827	Tag>
13:39:37,426 DEBUG [org.aksw.hawk.controller.NEREvalPipeline.run] 118 - <0.6710593328240387	0.8058823529411764	0.6848238843048533	Fox>
14:21:14,966 DEBUG [org.aksw.hawk.controller.NEREvalPipeline.run] 118 - <0.5437356760886173	0.6235294117647059	0.5250443616360572	Wik>
16:30:01,749 DEBUG [org.aksw.hawk.controller.NEREvalPipeline.run] 118 - <0.3333333333333333	0.27647058823529413	0.2823529411764706	Spo>
16:49:48,711 DEBUG [org.aksw.hawk.controller.NEREvalPipeline.run] 118 - <0.12745098039215685	0.09999999999999999	0.1030812324929972	Mul>
20:23:16,285 DEBUG [org.aksw.hawk.controller.NEREvalPipeline.run] 120 - <0.577688651218063	0.6764705882352942	0.578970049558285	Opt>

