	Feature	F-measure	Nr. of result sets		
21:04:01,074 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.4748761043	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:04:26,773 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.4805322129	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:04:53,054 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.4805322129	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.795755225
21:25:25,104 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.175070028	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:25:51,159 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.280952381	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:26:17,167 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.3278172808	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:26:43,628 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:27:09,913 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:27:36,065 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:28:02,190 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
