	Feature	F-measure	Nr. of result sets		
23:56:10,087 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:56:42,630 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2130222718	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:57:19,714 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2219349278	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:57:56,208 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:58:34,421 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.4846800259	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:59:07,356 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:59:40,490 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:00:13,361 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.6121310062	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.333685922
00:11:07,936 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:11:40,215 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:12:13,062 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1247869777	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:12:49,122 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2130222718	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:13:22,487 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2219349278	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:14:02,595 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:14:35,764 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.4846800259	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:15:08,744 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:15:43,362 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:16:17,602 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.302364302
00:27:16,426 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.09728506787	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:27:53,439 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:28:34,999 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1163836164	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:29:09,391 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2130222718	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:29:44,111 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2219349278	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:30:16,762 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:30:49,610 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.4846800259	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:31:24,586 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5140917906	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:31:57,162 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:32:35,774 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.6121310062	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.305165423
