class,property,score
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,0.007295351
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/gridReference,0.028481393
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/lake,0.00286433
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/lengthQuote,1.19E-06
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/locatedInArea,0.02876354
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/lowest,0.000425007
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/lowestMountain,0.000153574
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/lowestPlace,0.00019167
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/lowestPosition,0.00012024
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/map,0.000136907
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/mapCaption,4.88E-05
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/maximumDepth,0.00479055
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/maximumDepthQuote,1.19E-06
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/maximumElevation,0.045842376
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/minimumElevation,0.044904266
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/municipalityCode,0.003294099
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/nationalTopographicSystemMapNumber,0.005939378
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/nearestCity,0.017876467
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/nutsCode,2.38E-05
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/plant,7.62E-05
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/province,0.013387112
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/quote,0.000753583
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/river,0.003063143
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/subdivisions,5.95E-06
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/subregion,0.000139288
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/timeZone,0.307809526
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/utcOffset,0.313867953
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/volumeQuote,1.19E-06
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/widthQuote,2.38E-06
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/yearOfConstruction,0.056355634
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/PopulatedPlace/area,0.0812784
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/PopulatedPlace/areaMetro,0.001364764
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/PopulatedPlace/areaTotal,0.266288582
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/PopulatedPlace/areaUrban,0.001393967
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/PopulatedPlace/populationDensity,0.105042033
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity,0.000445836
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/PopulatedPlace/populationUrbanDensity,0.000323182
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/areaRural,3.50E-05
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/areaUrban,0.001393967
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/arrondissement,0.018366878
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/borough,0.000632736
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/capital,0.007682394
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/censusYear,0.007960798
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/ceremonialCounty,0.010285374
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/cityType,0.001031847
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/councilArea,0.00450119
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/countySeat,0.005813388
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/department,0.04731895
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/dissolutionDate,0.002034491
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/ethnicGroup,0.00169184
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/grossDomesticProduct,3.89E-05
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/largestCity,0.006868597
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/largestSettlement,0.000130441
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/leaderName,0.023664342
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/leaderParty,0.011618988
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/leaderTitle,0.087309838
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/lieutenancyArea,0.003138373
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/metropolitanBorough,0.002828819
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/neighboringMunicipality,0.005375339
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/officialLanguage,0.000710612
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/parish,4.87E-05
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationAsOf,0.038667009
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationDensity,0.105042033
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationMetro,0.003763322
